Test Case,Report Source,Target Topic Requirements,PhoBERT Feedback,PhoBERT Score,Expected (Ground Truth),PhoBERT Prediction,Result,Security Flags
Ca 11,11-xay-dung-ung-dung-di-dong-doc-sach-de-tai-d17ht.pdf,"['Blockchain', 'Solidity', 'Web3']",Cần cải thiện: Thiếu kiến thức chuyên môn.,5.00,MISMATCH (0),MISMATCH (0),True Negative (TN),Từ vựng nghèo
Ca 12,12-tieu-luan-big-data-va-ung-dung-trong-phan-tich-hanh-vi-nguoi-tieu-dung-its329.pdf,"['Swift', 'iOS', 'Mobile']",Cần cải thiện: Thiếu kiến thức chuyên môn.,4.98,MISMATCH (0),MISMATCH (0),True Negative (TN),Từ vựng nghèo
Ca 13,13-tieu-luan-mon-khoa-hoc-du-lieu-hop-dong-thong-minh-ethereum-va-blockchain.pdf,"['Unity', 'C#', 'Game Design']",Cần cải thiện: Thiếu kiến thức chuyên môn.,4.99,MISMATCH (0),MISMATCH (0),True Negative (TN),Từ vựng nghèo
Ca 14,14-do-an-cuoi-ky-mon-thuong-mai-dien-tu-website-ban-my-pham-oneshop.pdf,"['OpenCV', 'Python', 'Machine Learning']",Cần cải thiện: Thiếu kiến thức chuyên môn.,4.78,MISMATCH (0),MISMATCH (0),True Negative (TN),None
Ca 15,15-k44-khoa-luan-tot-nghiep-ke-toan-doanh-thu-va-chi-phi-tai-lasun.pdf,"['C', 'Embedded Systems', 'IoT', 'GPS']",Nội dung đạt yêu cầu.,5.26,MISMATCH (0),MATCH (1),False Positive (FP),Lặp lại (26%)
Ca 16,16-do-an-tot-nghiep-nhan-dang-bien-so-xe-nghien-cuu-he-thong-tu-dong.pdf,"['React', 'NodeJS', 'MongoDB', 'E-commerce']",Cần cải thiện: Thiếu kiến thức chuyên môn.,4.96,MISMATCH (0),MISMATCH (0),True Negative (TN),Prompt Injection
Ca 17,17-khoa-luan-tot-nghiep-thiet-ke-va-xay-dung-game-2d-11210917.pdf,"['Hadoop', 'Spark', 'Big Data']",Cần cải thiện: Thiếu kiến thức chuyên môn.,4.95,MISMATCH (0),MISMATCH (0),True Negative (TN),Từ vựng nghèo
Ca 18,18-de-tai-nen-tang-dat-va-giao-do-an-truc-tuyen-food-delivery-platform.pdf,"['Security', 'Network', 'Bảo mật']",Nội dung đạt yêu cầu.,6.17,MISMATCH (0),MATCH (1),False Positive (FP),None
Ca 19,19-dinh-huong-va-dieu-khien-robot-di-dong-tren-co-so-gps-va-cam-bien.pdf,"['React', 'NodeJS', 'Database', 'LMS']",Cần cải thiện: Thiếu kiến thức chuyên môn.,5.00,MISMATCH (0),MISMATCH (0),True Negative (TN),Prompt Injection
Ca 20,10-du-doan-gia-co-phieu-bang-machine-learning-va-deep-learning-tai-lieu-nghien.pdf,"['Android', 'Java', 'Mobile App']",Cần cải thiện: Thiếu kiến thức chuyên môn.,5.00,MISMATCH (0),MISMATCH (0),True Negative (TN),None
