Test Case,Report Source,PhoBERT Score,Expected (Ground Truth),PhoBERT Prediction,Result
Ca 13,13-tieu-luan-mon-khoa-hoc-du-lieu-hop-dong-thong-minh-ethereum-va-blockchain.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 14,14-do-an-cuoi-ky-mon-thuong-mai-dien-tu-website-ban-my-pham-oneshop.pdf,4.78,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 15,15-k44-khoa-luan-tot-nghiep-ke-toan-doanh-thu-va-chi-phi-tai-lasun.pdf,5.54,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 16,16-do-an-tot-nghiep-nhan-dang-bien-so-xe-nghien-cuu-he-thong-tu-dong.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 17,17-khoa-luan-tot-nghiep-thiet-ke-va-xay-dung-game-2d-11210917.pdf,4.92,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 18,18-de-tai-nen-tang-dat-va-giao-do-an-truc-tuyen-food-delivery-platform.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 19,19-dinh-huong-va-dieu-khien-robot-di-dong-tren-co-so-gps-va-cam-bien.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 20,10-du-doan-gia-co-phieu-bang-machine-learning-va-deep-learning-tai-lieu-nghien.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 21,1-nghien-cuu-ve-phan-loai-viem-phoi-trong-hinh-anh-x-quang-nguc-pmc.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 22,2-nghien-cuu-ve-phan-loai-viem-phoi-trong-hinh-anh-x-quang-nguc-pmc.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 23,3-de-tai-bai-tap-lon-khai-pha-du-lieu-web-phan-tich-cam-xuc.pdf,6.47,MATCH (1),MATCH (1),True Positive (TP)
Ca 24,4-do-an-iii-ung-dung-he-thong-goi-y-trong-thuong-mai-dien-tu-dh-bk-hn.pdf,4.91,MATCH (1),MISMATCH (0),False Negative (FN)
Ca 25,5-do-an-iii-ung-dung-he-thong-goi-y-trong-thuong-mai-dien-tu-dh-bk-hn.pdf,6.12,MATCH (1),MATCH (1),True Positive (TP)
Ca 26,6-danh-gia-hieu-nang-he-thong-ai-chuyen-van-ban-thanh-giong-noi-ho-tro-hskt.pdf,8.47,MATCH (1),MATCH (1),True Positive (TP)
Ca 27,7-do-an-cuoi-ky-tong-quan-ve-du-doan-luu-luong-giao-thong-thong-minh.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 28,8-do-an-tot-nghiep-ky-su-cntt-nhan-dang-sau-benh-cay-san-tren-python.pdf,6.72,MATCH (1),MATCH (1),True Positive (TP)
Ca 29,9-do-an-tot-nghiep-phat-trien-he-thong-tom-tat-van-ban-tu-dong-dua-tren-nlp.pdf,7.6,MATCH (1),MATCH (1),True Positive (TP)
Ca 30,10-tieu-luan-nghien-cuu-khoa-hoc-ung-dung-mo-hinh-transformer-trong-phan-tich-cam.pdf,7.53,MATCH (1),MATCH (1),True Positive (TP)
Ca 31,11-de-cuong-khoa-luan-tot-nghiep-xay-dung-website-quan-ly-chung-chi-blockchain.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 32,12-nghien-cuu-ung-dung-smart-contract-trong-giao-dich-dex-tai-viet-nam.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 33,13-thuc-tap-tot-nghiep-xay-dung-website-gay-quy-cong-dong-tren-blockchain.pdf,7.57,MATCH (1),MATCH (1),True Positive (TP)
Ca 34,14-nhan-thuc-ve-ung-dung-blockchain-trong-quan-ly-chuoi-cung-ung-ysc5.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 35,15-do-an-tot-nghiep-ct050119-ung-dung-vi-dien-tu-quan-ly-tai-san-crypto.pdf,6.64,MATCH (1),MATCH (1),True Positive (TP)
Ca 36,16-bai-tap-nhom-1-tiem-nang-phat-trien-nft-tai-viet-nam-elc3019.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 37,17-tieu-luan-phat-trien-ung-dung-iot-cho-bai-do-xe-thong-minh-d15dtktmt.pdf,5.79,MATCH (1),MATCH (1),True Positive (TP)
Ca 38,18-bao-cao-bai-tap-lon-mon-iot-he-thong-thung-rac-tu-dong-su-dung-esp32.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 39,19-he-thong-aiot-quan-trac-va-du-bao-chat-luong-khong-khi-thoi-gian-thuc.pdf,6.75,MATCH (1),MATCH (1),True Positive (TP)
Ca 40,20-do-an-tot-nghiep-thiet-ke-he-thong-nha-thong-minh-dieu-khien-bang-giong-noi.pdf,6.75,MATCH (1),MATCH (1),True Positive (TP)
Ca 41,21-mgt496-n4-tieu-luan-nhom-vong-tay-du-bao-dong-kinh-cap-cuu-khan-cap.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 42,22-de-tai-tieu-luan-mon-y-tuong-khoi-nghiep-ung-dung-gia-su-truc-tuyen.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 43,23-do-an-tot-nghiep-xay-dung-website-chia-se-cong-thuc-nau-an.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 44,24-do-an-quan-ly-phong-kham-da-khoa-22dthqb03.pdf,5.0,MATCH (1),MISMATCH (0),False Negative (FN)
Ca 45,25-bai-tap-nhom-nghien-cuu-thi-truong-phan-mem-quan-ly-kho-wms.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 46,26-do-an-mon-hoc-lap-trinh-thiet-bi-di-dong-ung-dung-hoc-tieng-anh.pdf,6.75,MATCH (1),MATCH (1),True Positive (TP)
Ca 47,27-bao-cao-quan-tri-du-an-cntt-he-thong-thu-vien-dien-tu.pdf,4.95,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 48,28-nghien-cuu-ve-giam-sat-thi-truc-tuyen-tac-dong-den-quyen-rieng-tu-va-cam-giac.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 49,29-bao-cao-du-an-to-chuc-su-kien-nho-nhom-sinh-vien.pdf,4.95,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 50,30-tieu-luan-nhom-31-nghien-cuu-cicd-cho-trien-khai-dich-vu-len-cloud.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 51,31-bao-cao-thuc-tap-doanh-nghiep-giam-sat-he-thong-bang-prometheus-va-grafana.pdf,7.59,MATCH (1),MATCH (1),True Positive (TP)
Ca 52,32-bao-cao-tieu-luan-mon-dien-toan-dam-may-nhom-16-ung-dung-kien-truc-serverless.pdf,6.68,MATCH (1),MATCH (1),True Positive (TP)
Ca 53,33-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-voi-docker-kubernetes.pdf,6.24,MATCH (1),MATCH (1),True Positive (TP)
Ca 54,34-de-tai-do-an-tot-nghiep-he-thong-phat-hien-xam-nhap-mang-ai-21it203.pdf,6.75,MATCH (1),MATCH (1),True Positive (TP)
Ca 55,35-btl-n3-tim-hieu-10-lo-hong-owasp-cho-bai-tap-lon-co-so-an-toan-thong-tin.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 56,36-bao-cao-chuyen-de-co-so-ve-phat-hien-ma-doc-dua-tren-sieu-du-lieu-metadata-pe.pdf,5.67,MATCH (1),MATCH (1),True Positive (TP)
Ca 57,37-do-an-tot-nghiep-he-thong-nhan-dien-va-dem-phuong-tien-giao-thong.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 58,38-bao-cao-cuoi-ky-impr432446-nhan-dien-cu-chi-tay-va-ung-dung.pdf,7.53,MATCH (1),MATCH (1),True Positive (TP)
Ca 59,39-thiet-ke-game-rpg-2d-bang-unity-tieu-luan-mon-lap-trinh-game-3123123.pdf,6.75,MATCH (1),MATCH (1),True Positive (TP)
Ca 60,40-khoa-luan-tot-nghiep-thiet-ke-va-xay-dung-game-2d-11210917.pdf,6.67,MATCH (1),MATCH (1),True Positive (TP)
Ca 61,41-nghien-cuu-du-doan-khach-hang-roi-bo-dich-vu-vien-thong-khrb.pdf,5.0,MATCH (1),MISMATCH (0),False Negative (FN)
Ca 62,42-bao-cao-de-tai-nghien-cuu-phat-hien-tin-gia-fake-news-detection.pdf,8.4,MATCH (1),MATCH (1),True Positive (TP)
Ca 63,43-bao-cao-do-an-i-phan-loai-dong-tac-tap-gym-su-dung-mediapipe-rf-754575.pdf,8.5,MATCH (1),MATCH (1),True Positive (TP)
Ca 64,44-b2012144-xay-dung-website-thuong-mai-dien-tu-tich-hop-ai-va-chatbot.pdf,7.1,MATCH (1),MATCH (1),True Positive (TP)
Ca 65,45-crm-ht-bai-toan-phan-nhom-khach-hang-tai-sieu-thi-coopextra-thu-duc.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 66,46-de-tai-xay-dung-he-thong-tro-ly-ao-tu-van-phap-luat-viet-nam-dua-tren-llm-va-ky.pdf,7.78,MATCH (1),MATCH (1),True Positive (TP)
Ca 67,47-bao-cao-do-an-thiet-ke-mo-hinh-cnn-nhan-dien-tai-xe-ngu-gat-20242fe6068001.pdf,8.47,MATCH (1),MATCH (1),True Positive (TP)
Ca 68,48-tieu-luan-giua-ky-243to3501-phan-tich-chuoi-thoi-gian-du-bao-hanh-khach.pdf,4.85,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 69,49-bao-cao-bai-tap-lon-mo-hinh-dich-may-anh-viet-cse703014.pdf,7.62,MATCH (1),MATCH (1),True Positive (TP)
Ca 70,50-tieu-luan-dat723-241-1-d-ung-dung-hop-dong-thong-minh-trong-bao-hiem-ngan-hang.pdf,6.14,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 71,51-do-an-tot-nghiep-xay-dung-mang-xa-hoi-chia-se-kien-thuc-sinh-vien-bach-khoa.pdf,5.63,MATCH (1),MATCH (1),True Positive (TP)
Ca 72,52-bao-cao-nckh-ung-dung-blockchain-trong-luu-tru-benh-an-dien-tu-tai-vn.pdf,6.75,MATCH (1),MATCH (1),True Positive (TP)
Ca 73,53-quan-ly-du-an-phat-trien-he-thong-nghe-nhac-truc-tuyen-mon-quan-ly-du-an.pdf,6.05,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 74,54-de-tai-do-an-nt547-nghien-cuu-va-phat-trien-blockchain.pdf,6.66,MATCH (1),MATCH (1),True Positive (TP)
Ca 75,55-khoa-luan-tot-nghiep-thiet-ke-he-thong-tuoi-tu-dong-trong-nong-nghiep-7480108.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 76,56-do-an-tot-nghiep-he-thong-khoa-cua-thong-minh-ung-dung-ai-nhan-dien-khuon-mat.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 77,57-do-an-tot-nghiep-thiet-ke-he-thong-giam-sat-nhip-tim-va-oxy-btl-dt-y-sinh.pdf,6.64,MATCH (1),MATCH (1),True Positive (TP)
Ca 78,58-19375691-final-exam-mang-cam-bien-khong-day-ung-dung.pdf,4.94,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 79,59-tong-quan-ve-iot-trong-logistics-truong-dh-giao-thong-van-tai-hcm.pdf,6.14,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 80,60-nghien-cuu-he-thong-chieu-sang-thong-minh-tiet-kiem-nang-luong.pdf,4.97,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 81,61-nghien-cuu-thiet-bi-da-nang-ho-tro-nguoi-khiem-thi-1448972.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 82,62-bao-cao-do-an-mon-phan-mem-quan-ly-gara-o-to-22521595.pdf,5.84,MATCH (1),MATCH (1),True Positive (TP)
Ca 83,63-khoa-luan-tot-nghiep-nang-cao-hieu-qua-su-dung-lao-dong-69dcqt22.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 84,64-bao-cao-do-an-csdl-21-he-thong-quan-ly-dat-tiec-cuoi-nha-hang.pdf,4.96,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 85,65-do-an-1-quan-ly-tour-du-lich-bai-luan-chi-tiet-nghien-cuu.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 86,66-du-an-kinh-doanh-quan-ao-secondhand-tai-thu-duc-lap-du-an-dau-tu.pdf,4.97,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 87,67-do-an-cs-4-xay-dung-ung-dung-tro-choi-co-vua.pdf,5.84,MATCH (1),MATCH (1),True Positive (TP)
Ca 88,68-do-an-cs353-phan-tich-thiet-ke-he-thong-quan-ly-nha-tro.pdf,5.44,MATCH (1),MATCH (1),True Positive (TP)
Ca 89,69-do-an-nhom-he-thong-quan-ly-thanh-vien-phong-gym-tich-hop-chatbot-cs-464.pdf,4.92,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 90,70-ke-hoach-phuc-hoi-sau-tham-hoa-drp-cho-he-thong-thong-tin-quan-trong.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 91,71-do-an-tot-nghiep-xay-dung-nen-tang-data-lakehouse-cho-tin-tuc-nguyen-phuc.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 92,72-do-an-mon-hoc-22it-nghien-cuu-mo-hinh-private-cloud-voi-openstack.pdf,4.94,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 93,73-nt533q13-do-an-mon-hoc-trien-khai-cicd-pipeline-va-iac.pdf,6.12,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 94,74-do-an-ca-nhan-mon-mang-may-tinh-tim-hieu-ve-ky-thuat-giau-tin-steganography.pdf,4.85,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 95,75-nghien-cuu-ky-thuat-honeypot-xay-dung-he-thong-bay-tan-cong-va-phan-tich-log.pdf,5.88,MATCH (1),MATCH (1),True Positive (TP)
Ca 96,76-he-thong-chat-bao-mat-ma-hoa-khoa-luan-tot-nghiep-2025.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 97,77-bao-cao-nhap-mon-ky-nang-mem-he-thong-danh-gia-do-manh-mat-khau.pdf,6.11,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 98,78-giai-phap-nang-cao-hieu-qua-day-hoc-cau-truc-tuan-tu-trong-lap-trinh-scratch-cho.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)
Ca 99,79-htttql-nhom-4-tieu-luan-cuoi-ky-ve-ung-dung-vr-va-ar-tai-ikea-23c1inf.pdf,6.17,MISMATCH (0),MATCH (1),False Positive (FP)
Ca 100,80-do-an-tot-nghiep-nghien-cuu-cong-nghe-thuc-te-ao-va-ung-dung-ktpm2-k7.pdf,5.0,MISMATCH (0),MISMATCH (0),True Negative (TN)

=== TONG KET ===
Total Cases,100
MATCH cases,59
MISMATCH cases,41
TP,53
TN,26
FP,15
FN,6
Accuracy,0.7900,79.00%
Precision,0.7794,77.94%
Recall,0.8983,89.83%
F1-Score,0.8346,83.46%
