STT,Linh vuc SV,Linh vuc de tai,GPA,Ky nang (mon),Yeu cau de tai,Nhan thuc te,match_score (domain that),Du doan (>=0.75),Loai ca
97,AI / Computer Vision,AI / Computer Vision,8.1,"Python=8.9, Deep learning=8.7, Học máy=9.4","CNN, Deep Learning, AI",MATCH,0.7370,MISMATCH,Match
98,Data Science / Big Data,Data Science / Big Data,7.5,"Python=9.4, Hadoop=8.5, Khai phá dữ liệu=8.6","Big Data, ETL, Data Mining",MATCH,0.6882,MISMATCH,Match
99,iOS Mobile,Data Science / Big Data,7.5,"Swift=8.8, Objective-C=7.8, iOS=8.9","Spark, Hadoop, Big Data",MISMATCH,0.6677,MISMATCH,Mismatch-Easy
100,An toan thong tin,An toan thong tin,7.4,"Linux=8.7, An toàn mạng máy tính=7.6, Kiểm thử xâm nhập=9.5, Bảo mật máy tính=8.1","Network, Penetration Testing, Bảo mật, OWASP",MATCH,0.7613,MATCH,Match

=== TONG KET (nguong 0.75) ===
Total,100
TP,30
TN,50
FP,0
FN,20
Accuracy,80.00%
Precision,100.00%
Recall,60.00%
F1-Score,75.00%
Nguong toi uu,0.72 (F1=85.4%)
