STT,Nganh that (job),Nganh dem so khop,Nhan,match_score (domain that),Du doan (>=0.75)
113,Xây dựng,Cơ khí,MISMATCH,0.5974,MISMATCH
114,Kiểm toán,Kinh doanh,MISMATCH,0.6483,MISMATCH
115,Nhân sự,Ngân hàng,MISMATCH,0.6853,MISMATCH
116,Marketing,Marketing,MATCH,0.6926,MISMATCH
117,Điện - Điện tử,Điện - Điện tử,MATCH,0.6657,MISMATCH
118,Thiết kế - Sáng tạo nghệ thuật,Ngân hàng,MISMATCH,0.6489,MISMATCH
119,Kinh doanh,Kinh doanh,MATCH,0.7479,MISMATCH
120,Chăm sóc khách hàng,Ngân hàng,MISMATCH,0.6518,MISMATCH
121,Thiết kế - Sáng tạo nghệ thuật,Thiết kế - Sáng tạo nghệ thuật,MATCH,0.6358,MISMATCH
122,Chăm sóc khách hàng,Chăm sóc khách hàng,MATCH,0.6104,MISMATCH
123,Ngân hàng,IT Phần mềm,MISMATCH,0.5888,MISMATCH
124,Thiết kế - Sáng tạo nghệ thuật,Kiểm toán,MISMATCH,0.7358,MISMATCH
125,IT Phần cứng - Mạng - Viễn Thông,IT Phần cứng - Mạng - Viễn Thông,MATCH,0.5529,MISMATCH
126,Kiểm toán,Xây dựng,MISMATCH,0.5837,MISMATCH
127,IT Phần mềm,Điện - Điện tử,MISMATCH,0.6606,MISMATCH
128,Quản lý điều hành,Giáo dục - Đào tạo,MISMATCH,0.6717,MISMATCH
129,Ngân hàng,IT Phần mềm,MISMATCH,0.6220,MISMATCH
130,Xây dựng,Xây dựng,MATCH,0.6078,MISMATCH
131,Điện - Điện tử,Điện - Điện tử,MATCH,0.6210,MISMATCH
132,Cơ khí,IT Phần mềm,MISMATCH,0.5881,MISMATCH
133,Chăm sóc khách hàng,Chăm sóc khách hàng,MATCH,0.6534,MISMATCH
134,Kiểm toán,Kiểm toán,MATCH,0.7170,MISMATCH
135,IT Phần mềm,Thiết kế - Sáng tạo nghệ thuật,MISMATCH,0.6320,MISMATCH
136,Kiểm toán,Kiểm toán,MATCH,0.6798,MISMATCH
137,Kiểm toán,Kiểm toán,MATCH,0.6820,MISMATCH
138,Xây dựng,Xây dựng,MATCH,0.7086,MISMATCH
139,Xây dựng,Marketing,MISMATCH,0.6487,MISMATCH
140,Nhân sự,Nhân sự,MATCH,0.7270,MISMATCH
141,Cơ khí,Ngân hàng,MISMATCH,0.6492,MISMATCH
142,Kế toán,Kế toán,MATCH,0.6745,MISMATCH
143,Giáo dục - Đào tạo,Điện - Điện tử,MISMATCH,0.6678,MISMATCH
144,IT Phần cứng - Mạng - Viễn Thông,Giáo dục - Đào tạo,MISMATCH,0.7278,MISMATCH
145,Thiết kế - Sáng tạo nghệ thuật,Ngân hàng,MISMATCH,0.6560,MISMATCH
146,Cơ khí,Cơ khí,MATCH,0.6629,MISMATCH
147,Chăm sóc khách hàng,Nhân sự,MISMATCH,0.7442,MISMATCH
148,Marketing,Marketing,MATCH,0.7031,MISMATCH
149,Điện - Điện tử,Kinh doanh,MISMATCH,0.7764,MATCH
150,Kiểm toán,Kiểm toán,MATCH,0.6814,MISMATCH

=== TONG KET (nguong 0.75) ===
Total,150
TP,6
TN,72
FP,3
FN,69
Accuracy,52.00%
Precision,66.67%
Recall,8.00%
F1-Score,14.29%
Nguong toi uu,0.65 (F1=70.1%)
